,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
71,OMG/USDT,2023-03-12 20:43:50.236,OMG,USDT,1.273,322.6,1.278,258.2
72,SUSHI/USDT,2023-03-12 20:43:50.316,SUSHI,USDT,1.131,2044.1,1.136,357.3
73,LRC/USDT,2023-03-12 20:43:50.408,LRC,USDT,0.2895,170.0,0.2901,489.0
74,LPT/USDT,2023-03-12 20:43:50.486,LPT,USDT,5.14,212.23,5.16,172.99
75,NMR/USDT,2023-03-12 20:43:50.637,NMR,USDT,15.97,30.12,16.05,29.71
76,SLP/USDT,2023-03-12 20:43:50.708,SLP,USDT,0.002609,181526.0,0.002615,143477.0
77,ANT/USDT,2023-03-12 20:43:50.777,ANT,USDT,2.213,392.0,2.227,8.5
78,CHZ/USDT,2023-03-12 20:43:51.125,CHZ,USDT,0.1102,9955.0,0.1106,9873.0
79,OGN/USDT,2023-03-12 20:43:51.193,OGN,USDT,0.1053,3515.0,0.1058,3499.0
80,GALA/USDT,2023-03-12 20:43:51.286,GALA,USDT,0.03221,71715.0,0.03228,107897.0
81,TLM/USDT,2023-03-12 20:43:51.362,TLM,USDT,0.0166,19963.0,0.01665,32292.0
82,SNX/USDT,2023-03-12 20:43:51.429,SNX,USDT,2.307,270.1,2.312,1252.4
83,AUDIO/USDT,2023-03-12 20:43:51.507,AUDIO,USDT,0.2285,2350.7,0.2291,124.4
84,ENS/USDT,2023-03-12 20:43:51.594,ENS,USDT,12.51,78.9,12.55,3.6
85,REQ/USDT,2023-03-12 20:43:51.665,REQ,USDT,0.0902,3222.0,0.0907,7273.0
86,APE/USDT,2023-03-12 20:43:51.732,APE,USDT,4.028,139.0,4.032,20.0
87,FLUX/USDT,2023-03-12 20:43:51.813,FLUX,USDT,0.61,1069.35,0.614,202.04
88,TRX/USDT,2023-03-12 20:43:51.893,TRX,USDT,0.06067,17149.1,0.06076,8390.7
89,COTI/USDT,2023-03-12 20:43:51.966,COTI,USDT,0.0668,9881.0,0.0674,3826.0
90,VOXEL/USDT,2023-03-12 20:43:52.037,VOXEL,USDT,0.2232,1098.0,0.2244,2987.8
91,RLC/USDT,2023-03-12 20:43:52.101,RLC,USDT,1.348,297.5,1.353,427.1
92,BICO/USDT,2023-03-12 20:43:52.234,BICO,USDT,0.334,1871.25,0.337,1104.25
93,API3/USDT,2023-03-12 20:43:52.302,API3,USDT,1.267,441.78,1.268,27.17
94,BNT/USDT,2023-03-12 20:43:52.366,BNT,USDT,0.401,801.9,0.404,801.5
95,IMX/USDT,2023-03-12 20:43:52.426,IMX,USDT,0.854,353.33,0.858,504.7
96,SPELL/USDT,2023-03-12 20:43:52.498,SPELL,USDT,0.0006517,633444.0,0.0006525,38907.0
97,JASMY/USDT,2023-03-12 20:43:52.557,JASMY,USDT,0.004966,60371.9,0.004979,148096.5
98,FLOW/USDT,2023-03-12 20:43:52.624,FLOW,USDT,0.891,321.22,0.896,864.94
99,GTC/USDT,2023-03-12 20:43:52.690,GTC,USDT,1.57,228.0,1.577,230.1
100,THETA/USDT,2023-03-12 20:43:52.754,THETA,USDT,0.932,1163.7,0.937,241.8
101,TFUEL/USDT,2023-03-12 20:43:52.824,TFUEL,USDT,0.0462,4895.0,0.0466,6970.0
102,OCEAN/USDT,2023-03-12 20:43:52.901,OCEAN,USDT,0.3376,846.0,0.3386,1076.0
103,LAZIO/USDT,2023-03-12 20:43:52.966,LAZIO,USDT,2.5738,86.83,2.5836,95.18
104,SANTOS/USDT,2023-03-12 20:43:53.030,SANTOS,USDT,4.119,4.6,4.136,0.22
105,ALPINE/USDT,2023-03-12 20:43:53.099,ALPINE,USDT,2.2619,110.87,2.2707,110.75
106,PORTO/USDT,2023-03-12 20:43:53.164,PORTO,USDT,2.3166,103.16,2.3274,229.74
107,REN/USDT,2023-03-12 20:43:53.228,REN,USDT,0.082403,4766.0,0.083095,4332.0
108,CELR/USDT,2023-03-12 20:43:53.291,CELR,USDT,0.01585,20859.9,0.01591,68999.3
109,SKL/USDT,2023-03-12 20:43:53.357,SKL,USDT,0.0367,9902.0,0.03682,9992.0
110,VITE/USDT,2023-03-12 20:43:53.422,VITE,USDT,0.02088,18744.8,0.02102,20740.0
111,WAXP/USDT,2023-03-12 20:43:53.484,WAXP,USDT,0.0607,426.0,0.0608,1105.0
112,LTO/USDT,2023-03-12 20:43:53.553,LTO,USDT,0.1064,3443.0,0.1071,3858.0
113,FET/USDT,2023-03-12 20:43:53.623,FET,USDT,0.326,1740.0,0.3267,419.0
114,BOND/USDT,2023-03-12 20:43:53.688,BOND,USDT,3.892,4.87,3.914,23.12
115,LOKA/USDT,2023-03-12 20:43:53.752,LOKA,USDT,0.4389,524.0,0.4409,0.1
116,ICP/USDT,2023-03-12 20:43:53.816,ICP,USDT,4.929,267.19,4.944,285.73
117,T/USDT,2023-03-12 20:43:54.135,T,USDT,0.03234,62536.6,0.03251,12923.7
118,OP/USDT,2023-03-12 20:43:54.201,OP,USDT,2.067,806.77,2.071,3691.02
119,ROSE/USDT,2023-03-12 20:43:54.268,ROSE,USDT,0.05181,6033.8,0.05194,6037.7
120,CELO/USDT,2023-03-12 20:43:54.332,CELO,USDT,0.531,450.1,0.534,447.6
121,KDA/USDT,2023-03-12 20:43:54.399,KDA,USDT,0.938,478.97,0.941,856.13
122,KSM/USDT,2023-03-12 20:43:54.461,KSM,USDT,31.33,15.1,31.44,13.579
123,ACH/USDT,2023-03-12 20:43:54.532,ACH,USDT,0.02507,48999.0,0.02515,155428.0
124,DAR/USDT,2023-03-12 20:43:54.599,DAR,USDT,0.15923,1794.0,0.15962,1817.0
125,RNDR/USDT,2023-03-12 20:43:54.665,RNDR,USDT,1.057,649.65,1.06,250.7
126,SYS/USDT,2023-03-12 20:43:54.733,SYS,USDT,0.147,2111.0,0.1478,2094.0
127,RAD/USDT,2023-03-12 20:43:54.799,RAD,USDT,1.507,238.7,1.512,241.1
128,ILV/USDT,2023-03-12 20:43:54.862,ILV,USDT,63.68,5.032,63.97,5.033
129,LDO/USDT,2023-03-12 20:43:54.925,LDO,USDT,2.223,768.77,2.228,33.25
130,RARE/USDT,2023-03-12 20:43:54.991,RARE,USDT,0.1126,3503.6,0.1132,3532.1
131,LSK/USDT,2023-03-12 20:43:55.055,LSK,USDT,0.906,346.8,0.914,316.7
132,DGB/USDT,2023-03-12 20:43:55.115,DGB,USDT,0.00903,32592.1,0.00908,120983.0
133,REEF/USDT,2023-03-12 20:43:55.183,REEF,USDT,0.00252,94876.0,0.002532,226503.0
134,ALICE/USDT,2023-03-12 20:43:55.316,ALICE,USDT,1.424,239.69,1.432,302.15
135,FORTH/USDT,2023-03-12 20:43:55.379,FORTH,USDT,3.31,129.21,3.33,23.87
136,ASTR/USDT,2023-03-12 20:43:55.442,ASTR,USDT,0.0578,14413.7,0.0581,3613.4
137,BTRST/USDT,2023-03-12 20:43:55.516,BTRST,USDT,0.725,13.9,0.891,80.5
138,GAL/USDT,2023-03-12 20:43:55.584,GAL,USDT,1.446,240.107,1.453,387.966
139,SAND/USDT,2023-03-12 20:43:55.650,SAND,USDT,0.5437,693.0,0.5448,703.0
140,BAL/USDT,2023-03-12 20:43:55.707,BAL,USDT,6.069,69.81,6.093,69.75
141,GLM/USDT,2023-03-12 20:43:55.774,GLM,USDT,0.2122,1619.4,0.2132,1783.8
142,CLV/USDT,2023-03-12 20:43:55.840,CLV,USDT,0.05826,4774.4,0.05848,6009.8
143,TUSD/USDT,2023-03-12 20:43:55.907,TUSD,USDT,0.9924,7736.0,0.9989,34.0
